participant_id,image_name,task,emotion,sac1,sac2,sac3,sac4,sac5
ANT,34M_HA_X.BMP,Categorisation,HA,Eyes,Nose,Eyes,Nose,Nose
AUN,34M_HA_X.BMP,Categorisation,HA,Nose,Nose,Eyes,NA,NA
CHN,34M_HA_X.BMP,Categorisation,HA,Outside,Outside,Outside,Outside,Outside
DHA,34M_HA_X.BMP,Categorisation,HA,Eyes,Eyes,Outside,Eyes,Eyes
HAM,34M_HA_X.BMP,Categorisation,HA,Nose,NA,NA,NA,NA
HMN,34M_HA_X.BMP,Categorisation,HA,Nose,NA,NA,NA,NA
KRT,34M_HA_X.BMP,Categorisation,HA,Eyes,NA,NA,NA,NA
KUL,34M_HA_X.BMP,Categorisation,HA,Nose,Outside,Nose,Nose,NA
LOV,34M_HA_X.BMP,Categorisation,HA,Nose,Eyes,NA,NA,NA
NAN,34M_HA_X.BMP,Categorisation,HA,Eyes,NA,NA,NA,NA
NIS,34M_HA_X.BMP,Categorisation,HA,Eyes,NA,NA,NA,NA
PRA,34M_HA_X.BMP,Categorisation,HA,Eyes,Nose,Nose,NA,NA
SHI,34M_HA_X.BMP,Categorisation,HA,Nose,Nose,Nose,Nose,Nose
SYE,34M_HA_X.BMP,Categorisation,HA,Eyes,Nose,Nose,Outside,Mouth
VIL,34M_HA_X.BMP,Categorisation,HA,Nose,NA,NA,NA,NA
ANT,08F_AN_C.BMP,Categorisation,AN,Nose,Nose,Nose,Eyes,Outside
AUN,08F_AN_C.BMP,Categorisation,AN,Eyes,NA,NA,NA,NA
CHN,08F_AN_C.BMP,Categorisation,AN,Outside,NA,NA,NA,NA
DHA,08F_AN_C.BMP,Categorisation,AN,Outside,Outside,Mouth,Outside,Nose
HAH,08F_AN_C.BMP,Categorisation,AN,Eyes,Nose,Nose,Eyes,Nose
JAY,08F_AN_C.BMP,Categorisation,AN,Outside,Outside,Eyes,Nose,Outside
KRT,08F_AN_C.BMP,Categorisation,AN,Nose,Eyes,Eyes,NA,NA
KUL,08F_AN_C.BMP,Categorisation,AN,Outside,Nose,Nose,Eyes,Eyes
LOV,08F_AN_C.BMP,Categorisation,AN,Eyes,Eyes,Nose,Outside,Outside
PRA,08F_AN_C.BMP,Categorisation,AN,Nose,Nose,Nose,Mouth,Mouth
SHI,08F_AN_C.BMP,Categorisation,AN,Eyes,Nose,NA,NA,NA
SKR,08F_AN_C.BMP,Categorisation,AN,Nose,Nose,Nose,Eyes,NA
SYE,08F_AN_C.BMP,Categorisation,AN,Eyes,Outside,NA,NA,NA
VIL,08F_AN_C.BMP,Categorisation,AN,Nose,Nose,Outside,Mouth,Nose
AYA,01F_HA_X.BMP,Categorisation,HA,Outside,NA,NA,NA,NA
CHN,01F_HA_X.BMP,Categorisation,HA,Nose,NA,NA,NA,NA
HMN,01F_HA_X.BMP,Categorisation,HA,Eyes,Eyes,Nose,Eyes,Eyes
JAY,01F_HA_X.BMP,Categorisation,HA,Nose,Eyes,Eyes,NA,NA
KUL,01F_HA_X.BMP,Categorisation,HA,Outside,Nose,Eyes,Eyes,Outside
LOV,01F_HA_X.BMP,Categorisation,HA,Eyes,Eyes,Eyes,Eyes,NA
MAL,01F_HA_X.BMP,Categorisation,HA,Nose,Nose,Outside,Mouth,Nose
PRA,01F_HA_X.BMP,Categorisation,HA,Nose,NA,NA,NA,NA
SHI,01F_HA_X.BMP,Categorisation,HA,Outside,Outside,Nose,NA,NA
SYE,01F_HA_X.BMP,Categorisation,HA,Eyes,NA,NA,NA,NA
VIL,01F_HA_X.BMP,Categorisation,HA,Nose,NA,NA,NA,NA
ANT,30M_AN_C.BMP,Categorisation,AN,Eyes,Eyes,NA,NA,NA
CHN,30M_AN_C.BMP,Categorisation,AN,Nose,NA,NA,NA,NA
DEP,30M_AN_C.BMP,Categorisation,AN,Eyes,Eyes,Eyes,Outside,Eyes
DHA,30M_AN_C.BMP,Categorisation,AN,Outside,Eyes,Outside,Eyes,Outside
HAH,30M_AN_C.BMP,Categorisation,AN,Nose,Nose,Outside,Outside,Eyes
HMN,30M_AN_C.BMP,Categorisation,AN,Nose,NA,NA,NA,NA
JAY,30M_AN_C.BMP,Categorisation,AN,Outside,Nose,Outside,NA,NA
KRT,30M_AN_C.BMP,Categorisation,AN,Eyes,Eyes,Nose,Outside,Nose
KUL,30M_AN_C.BMP,Categorisation,AN,Eyes,Eyes,NA,NA,NA
LOV,30M_AN_C.BMP,Categorisation,AN,Nose,Nose,Nose,Nose,Nose
MAL,30M_AN_C.BMP,Categorisation,AN,Nose,Outside,Outside,Eyes,Outside
NAN,30M_AN_C.BMP,Categorisation,AN,Eyes,Outside,Outside,Eyes,Outside
PRA,30M_AN_C.BMP,Categorisation,AN,Eyes,Outside,Eyes,Nose,Eyes
SHI,30M_AN_C.BMP,Categorisation,AN,Nose,Eyes,Nose,Eyes,Eyes
SKR,30M_AN_C.BMP,Categorisation,AN,Eyes,Nose,Eyes,Outside,Eyes
SYE,30M_AN_C.BMP,Categorisation,AN,Outside,Outside,Eyes,Eyes,Eyes
VIL,30M_AN_C.BMP,Categorisation,AN,Eyes,Nose,Nose,NA,NA
CHN,30M_NE_C.BMP,Categorisation,NE,Nose,Outside,NA,NA,NA
HAH,30M_NE_C.BMP,Categorisation,NE,Nose,NA,NA,NA,NA
HMN,30M_NE_C.BMP,Categorisation,NE,Eyes,NA,NA,NA,NA
KRT,30M_NE_C.BMP,Categorisation,NE,Eyes,Eyes,Outside,Eyes,Outside
KUL,30M_NE_C.BMP,Categorisation,NE,Nose,Outside,Nose,Nose,Nose
LOV,30M_NE_C.BMP,Categorisation,NE,Nose,Nose,Nose,Outside,NA
NAN,30M_NE_C.BMP,Categorisation,NE,Eyes,Nose,Nose,Nose,Nose
NIS,30M_NE_C.BMP,Categorisation,NE,Nose,Outside,Eyes,NA,NA
SYE,30M_NE_C.BMP,Categorisation,NE,Eyes,Eyes,Nose,Outside,Eyes
VIL,30M_NE_C.BMP,Categorisation,NE,Outside,NA,NA,NA,NA
ADA,28M_AN_C.BMP,Categorisation,AN,Eyes,Outside,NA,NA,NA
ANT,28M_AN_C.BMP,Categorisation,AN,Outside,Mouth,Mouth,Mouth,Mouth
