AOI,probability,task,emotion,file
Eyes,0.0,Arousal,happy,34M_HA_X
Mouth,0.0,Arousal,happy,34M_HA_X
Nose,0.6,Arousal,happy,34M_HA_X
Eyes,0.6,Arousal,angry,08F_AN_C
Mouth,0.0,Arousal,angry,08F_AN_C
Nose,0.4,Arousal,angry,08F_AN_C
Eyes,0.6,Arousal,happy,01F_HA_X
Mouth,0.0,Arousal,happy,01F_HA_X
Nose,0.2,Arousal,happy,01F_HA_X
Eyes,0.6,Arousal,angry,30M_AN_C
Mouth,0.0,Arousal,angry,30M_AN_C
Nose,0.2,Arousal,angry,30M_AN_C
Eyes,0.6,Arousal,neutral,30M_NE_C
Mouth,0.0,Arousal,neutral,30M_NE_C
Nose,0.0,Arousal,neutral,30M_NE_C
Eyes,0.6,Arousal,angry,28M_AN_C
Mouth,0.0,Arousal,angry,28M_AN_C
Nose,0.4,Arousal,angry,28M_AN_C
Eyes,0.2,Arousal,neutral,23M_NE_C
Mouth,0.0,Arousal,neutral,23M_NE_C
Nose,0.4,Arousal,neutral,23M_NE_C
Eyes,0.2,Arousal,happy,33M_HA_X
Mouth,0.0,Arousal,happy,33M_HA_X
Nose,0.0,Arousal,happy,33M_HA_X
Eyes,1.0,Arousal,neutral,28M_NE_C
Mouth,0.0,Arousal,neutral,28M_NE_C
Nose,0.0,Arousal,neutral,28M_NE_C
Eyes,0.8,Arousal,happy,22M_HA_X
Mouth,0.0,Arousal,happy,22M_HA_X
Nose,0.2,Arousal,happy,22M_HA_X
Eyes,0.6,Arousal,neutral,24M_NE_O
Mouth,0.0,Arousal,neutral,24M_NE_O
Nose,0.0,Arousal,neutral,24M_NE_O
Eyes,0.2,Arousal,angry,33M_AN_C
Mouth,0.0,Arousal,angry,33M_AN_C
Nose,0.4,Arousal,angry,33M_AN_C
