AOI,probability,task,emotion,file
Eyes,0.8,Valence,happy,34M_HA_X
Mouth,0.0,Valence,happy,34M_HA_X
Nose,0.2,Valence,happy,34M_HA_X
Eyes,0.0,Valence,angry,08F_AN_C
Mouth,0.4,Valence,angry,08F_AN_C
Nose,0.4,Valence,angry,08F_AN_C
Eyes,0.0,Valence,happy,01F_HA_X
Mouth,0.0,Valence,happy,01F_HA_X
Nose,1.0,Valence,happy,01F_HA_X
Eyes,0.6,Valence,angry,30M_AN_C
Mouth,0.0,Valence,angry,30M_AN_C
Nose,0.4,Valence,angry,30M_AN_C
Eyes,0.2,Valence,neutral,30M_NE_C
Mouth,0.0,Valence,neutral,30M_NE_C
Nose,0.8,Valence,neutral,30M_NE_C
Eyes,0.4,Valence,angry,28M_AN_C
Mouth,0.0,Valence,angry,28M_AN_C
Nose,0.6,Valence,angry,28M_AN_C
Eyes,0.2,Valence,neutral,23M_NE_C
Mouth,0.0,Valence,neutral,23M_NE_C
Nose,0.4,Valence,neutral,23M_NE_C
Eyes,0.8,Valence,happy,33M_HA_X
Mouth,0.0,Valence,happy,33M_HA_X
Nose,0.0,Valence,happy,33M_HA_X
Eyes,0.4,Valence,neutral,28M_NE_C
Mouth,0.0,Valence,neutral,28M_NE_C
Nose,0.2,Valence,neutral,28M_NE_C
Eyes,0.2,Valence,happy,22M_HA_X
Mouth,0.0,Valence,happy,22M_HA_X
Nose,0.2,Valence,happy,22M_HA_X
Eyes,0.2,Valence,neutral,24M_NE_O
Mouth,0.0,Valence,neutral,24M_NE_O
Nose,0.8,Valence,neutral,24M_NE_O
Eyes,0.4,Valence,angry,33M_AN_C
Mouth,0.0,Valence,angry,33M_AN_C
Nose,0.4,Valence,angry,33M_AN_C
