participant_id,image_name,task,emotion,sac1,sac2,sac3,sac4,sac5
ANT,34M_HA_X.BMP,Valence,HA,Outside,Eyes,Eyes,Nose,Nose
AUN,34M_HA_X.BMP,Valence,HA,Eyes,Outside,Eyes,Outside,NA
CHN,34M_HA_X.BMP,Valence,HA,Mouth,Mouth,Mouth,Outside,NA
DHA,34M_HA_X.BMP,Valence,HA,Eyes,Outside,Outside,Outside,NA
HAH,34M_HA_X.BMP,Valence,HA,Eyes,Outside,NA,NA,NA
HAM,34M_HA_X.BMP,Valence,HA,Nose,Eyes,Outside,Outside,Eyes
KUL,34M_HA_X.BMP,Valence,HA,Eyes,Eyes,Eyes,NA,NA
LOV,34M_HA_X.BMP,Valence,HA,Outside,Outside,Outside,Outside,Outside
MAL,34M_HA_X.BMP,Valence,HA,Eyes,Eyes,Eyes,Eyes,Eyes
NAN,34M_HA_X.BMP,Valence,HA,Eyes,Eyes,Outside,Outside,Eyes
PRA,34M_HA_X.BMP,Valence,HA,Eyes,Mouth,Nose,Mouth,Nose
SHI,34M_HA_X.BMP,Valence,HA,Nose,Nose,Nose,Outside,Outside
SYE,34M_HA_X.BMP,Valence,HA,Nose,Mouth,Mouth,Mouth,Outside
TSH,34M_HA_X.BMP,Valence,HA,Nose,NA,NA,NA,NA
ANT,08F_AN_C.BMP,Valence,AN,Outside,Outside,Eyes,Eyes,Eyes
AUN,08F_AN_C.BMP,Valence,AN,Outside,NA,NA,NA,NA
CHN,08F_AN_C.BMP,Valence,AN,Nose,Outside,Eyes,Eyes,Eyes
DEP,08F_AN_C.BMP,Valence,AN,Eyes,Eyes,Eyes,Eyes,Eyes
DHA,08F_AN_C.BMP,Valence,AN,Nose,Nose,Mouth,Mouth,Outside
HAH,08F_AN_C.BMP,Valence,AN,Outside,Nose,Outside,Outside,Outside
JAY,08F_AN_C.BMP,Valence,AN,Eyes,Eyes,Outside,NA,NA
KRT,08F_AN_C.BMP,Valence,AN,Outside,Outside,Outside,NA,NA
KUL,08F_AN_C.BMP,Valence,AN,Nose,Nose,Nose,NA,NA
LOV,08F_AN_C.BMP,Valence,AN,Nose,Eyes,Eyes,Nose,Nose
MAL,08F_AN_C.BMP,Valence,AN,Eyes,Eyes,Eyes,Eyes,NA
NAN,08F_AN_C.BMP,Valence,AN,Nose,Eyes,Nose,Eyes,NA
NIS,08F_AN_C.BMP,Valence,AN,Eyes,Nose,NA,NA,NA
PRA,08F_AN_C.BMP,Valence,AN,Nose,Nose,Nose,Nose,Mouth
SHI,08F_AN_C.BMP,Valence,AN,Nose,Outside,Outside,NA,NA
SKR,08F_AN_C.BMP,Valence,AN,Nose,NA,NA,NA,NA
VIL,08F_AN_C.BMP,Valence,AN,Nose,Nose,NA,NA,NA
CHN,01F_HA_X.BMP,Valence,HA,Nose,Nose,Outside,Outside,Eyes
DHA,01F_HA_X.BMP,Valence,HA,Eyes,NA,NA,NA,NA
HMN,01F_HA_X.BMP,Valence,HA,Outside,Nose,Eyes,Nose,Nose
KUL,01F_HA_X.BMP,Valence,HA,Eyes,NA,NA,NA,NA
LOV,01F_HA_X.BMP,Valence,HA,Eyes,Nose,Nose,Outside,Outside
MAL,01F_HA_X.BMP,Valence,HA,Nose,Nose,Mouth,Outside,Eyes
NIS,01F_HA_X.BMP,Valence,HA,Outside,Outside,NA,NA,NA
PRA,01F_HA_X.BMP,Valence,HA,Nose,Nose,Nose,Nose,Nose
